sector,num,unit,year,month,day,hour
ALAOJI NIPP (GAS),70.3,2.0,2018,Sep,30,14:00
GEREGU NIPP (GAS),0.0,3.0,2018,Sep,30,14:00
IBOM POWER (GAS),71.2,1.0,2018,Sep,30,14:00
IHOVBOR NIPP (GAS),92.1,1.0,2018,Sep,30,14:00
KAINJI (HYDRO),345.0,4.0,2018,Sep,30,14:00
OLORUNSOGO (GAS),116.5,4.0,2018,Sep,30,14:00
OLORUNSOGO NIPP (GAS),80.1,1.0,2018,Sep,30,14:00
OMOKU (GAS),55.3,3.0,2018,Sep,30,14:00
OMOTOSHO (GAS),120.7,4.0,2018,Sep,30,14:00
OMOTOSHO NIPP (GAS),94.1,1.0,2018,Sep,30,14:00
PARAS ENERGY (GAS),69.4,9.0,2018,Sep,30,14:00
RIVERS IPP (GAS),90.0,1.0,2018,Sep,30,14:00
SAPELE (STEAM),50.0,1.0,2018,Sep,30,14:00
SHIRORO (HYDRO),440.0,3.0,2018,Sep,30,14:00
