sector,num,unit,year,month,day,hour
AFAM VI (GAS/STEAM),282.0,4.0,2019,Jun,22,18:00
AZURA-EDO IPP (GAS),347.0,3.0,2019,Jun,22,18:00
DELTA (GAS),463.0,10.0,2019,Jun,22,18:00
EGBIN (STEAM),525.0,4.0,2019,Jun,22,18:00
IBOM POWER (GAS),26.0,1.0,2019,Jun,22,18:00
IHOVBOR NIPP (GAS),88.3,1.0,2019,Jun,22,18:00
JEBBA (HYDRO),258.0,3.0,2019,Jun,22,18:00
KAINJI (HYDRO),263.0,3.0,2019,Jun,22,18:00
ODUKPANI NIPP (GAS),194.0,2.0,2019,Jun,22,18:00
OLORUNSOGO (GAS),166.4,6.0,2019,Jun,22,18:00
OMOKU (GAS),60.5,3.0,2019,Jun,22,18:00
OMOTOSHO (GAS),139.6,4.0,2019,Jun,22,18:00
PARAS ENERGY (GAS),60.9,8.0,2019,Jun,22,18:00
SAPELE (STEAM),46.0,1.0,2019,Jun,22,18:00
SAPELE NIPP (GAS),90.5,1.0,2019,Jun,22,18:00
TRANS-AMADI (GAS),63.9,3.0,2019,Jun,22,18:00
