sector,num,unit,year,month,day,hour
AZURA-EDO IPP (GAS),375.0,3.0,2020,Nov,29,21:30
GEREGU NIPP (GAS),105.0,1.0,2020,Nov,29,21:30
JEBBA (HYDRO),366.0,4.0,2020,Nov,29,21:30
ODUKPANI NIPP (GAS),29.2,2.0,2020,Nov,29,21:30
OLORUNSOGO (GAS),120.9,1.0,2020,Nov,29,21:30
OMOTOSHO (GAS),93.7,3.0,2020,Nov,29,21:30
OMOTOSHO NIPP (GAS),82.6,1.0,2020,Nov,29,21:30
RIVERS IPP (GAS),108.0,1.0,2020,Nov,29,21:30
SAPELE (STEAM),52.0,1.0,2020,Nov,29,21:30
SHIRORO (HYDRO),348.0,3.0,2020,Nov,29,21:30
TRANS-AMADI (GAS),55.5,4.0,2020,Nov,29,21:30
