sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),120.0,2.0,2021,Apr,29,23:00
DELTA (GAS),345.0,8.0,2021,Apr,29,23:00
EGBIN (STEAM),837.0,5.0,2021,Apr,29,23:00
GEREGU (GAS),418.0,3.0,2021,Apr,29,23:00
JEBBA (HYDRO),456.0,5.0,2021,Apr,29,23:00
ODUKPANI NIPP (GAS),441.5,4.0,2021,Apr,29,23:00
OLORUNSOGO (GAS),65.2,2.0,2021,Apr,29,23:00
OMOKU (GAS),39.8,2.0,2021,Apr,29,23:00
OMOTOSHO (GAS),66.6,2.0,2021,Apr,29,23:00
PARAS ENERGY (GAS),54.8,8.0,2021,Apr,29,23:00
RIVERS IPP (GAS),90.0,1.0,2021,Apr,29,23:00
SAPELE (STEAM),53.0,1.0,2021,Apr,29,23:00
TRANS-AMADI (GAS),20.4,2.0,2021,Apr,29,23:00
