sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),80.0,2.0,2021,Aug,4,05:00
ALAOJI NIPP (GAS),82.1,1.0,2021,Aug,4,05:00
AZURA-EDO IPP (GAS),375.0,3.0,2021,Aug,4,05:00
DELTA (GAS),325.0,9.0,2021,Aug,4,05:00
EGBIN (STEAM),470.0,4.0,2021,Aug,4,05:00
GEREGU (GAS),232.0,3.0,2021,Aug,4,05:00
GEREGU NIPP (GAS),80.0,1.0,2021,Aug,4,05:00
IBOM POWER (GAS),25.6,1.0,2021,Aug,4,05:00
JEBBA (HYDRO),91.0,1.0,2021,Aug,4,05:00
KAINJI (HYDRO),108.0,2.0,2021,Aug,4,05:00
ODUKPANI NIPP (GAS),160.5,2.0,2021,Aug,4,05:00
OLORUNSOGO (GAS),123.1,4.0,2021,Aug,4,05:00
OMOKU (GAS),41.8,2.0,2021,Aug,4,05:00
OMOTOSHO (GAS),126.4,4.0,2021,Aug,4,05:00
OMOTOSHO NIPP (GAS),91.7,1.0,2021,Aug,4,05:00
PARAS ENERGY (GAS),48.4,8.0,2021,Aug,4,05:00
RIVERS IPP (GAS),90.0,1.0,2021,Aug,4,05:00
SAPELE NIPP (GAS),89.9,1.0,2021,Aug,4,05:00
SHIRORO (HYDRO),113.0,2.0,2021,Aug,4,05:00
