sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),70.0,1.0,2021,Dec,12,21:00
AFAM VI (GAS/STEAM),285.0,4.0,2021,Dec,12,21:00
ALAOJI NIPP (GAS),81.4,1.0,2021,Dec,12,21:00
AZURA-EDO IPP (GAS),432.0,3.0,2021,Dec,12,21:00
DELTA (GAS),275.0,7.0,2021,Dec,12,21:00
EGBIN (STEAM),617.0,3.0,2021,Dec,12,21:00
GEREGU (GAS),425.0,3.0,2021,Dec,12,21:00
GEREGU NIPP (GAS),95.0,1.0,2021,Dec,12,21:00
IBOM POWER (GAS),30.3,1.0,2021,Dec,12,21:00
IHOVBOR NIPP (GAS),92.9,1.0,2021,Dec,12,21:00
JEBBA (HYDRO),458.0,5.0,2021,Dec,12,21:00
KAINJI (HYDRO),484.0,5.0,2021,Dec,12,21:00
ODUKPANI NIPP (GAS),206.5,2.0,2021,Dec,12,21:00
OLORUNSOGO (GAS),61.9,2.0,2021,Dec,12,21:00
OMOKU (GAS),50.7,3.0,2021,Dec,12,21:00
OMOTOSHO (GAS),82.9,3.0,2021,Dec,12,21:00
OMOTOSHO NIPP (GAS),84.3,1.0,2021,Dec,12,21:00
PARAS ENERGY (GAS),36.7,6.0,2021,Dec,12,21:00
RIVERS IPP (GAS),154.0,1.0,2021,Dec,12,21:00
SAPELE (STEAM),52.0,1.0,2021,Dec,12,21:00
SHIRORO (HYDRO),294.0,2.0,2021,Dec,12,21:00
TRANS-AMADI (GAS),41.2,2.0,2021,Dec,12,21:00
