sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),120.0,2.0,2021,Mar,22,17:00
AZURA-EDO IPP (GAS),200.0,2.0,2021,Mar,22,17:00
DELTA (GAS),361.0,8.0,2021,Mar,22,17:00
EGBIN (STEAM),839.0,4.0,2021,Mar,22,17:00
GEREGU (GAS),399.0,3.0,2021,Mar,22,17:00
GEREGU NIPP (GAS),0.0,1.0,2021,Mar,22,17:00
JEBBA (HYDRO),309.0,4.0,2021,Mar,22,17:00
KAINJI (HYDRO),335.0,4.0,2021,Mar,22,17:00
ODUKPANI NIPP (GAS),402.4,4.0,2021,Mar,22,17:00
OLORUNSOGO (GAS),117.4,4.0,2021,Mar,22,17:00
OLORUNSOGO NIPP (GAS),114.9,1.0,2021,Mar,22,17:00
OMOKU (GAS),36.8,2.0,2021,Mar,22,17:00
OMOTOSHO (GAS),124.9,4.0,2021,Mar,22,17:00
OMOTOSHO NIPP (GAS),105.0,1.0,2021,Mar,22,17:00
PARAS ENERGY (GAS),52.4,8.0,2021,Mar,22,17:00
RIVERS IPP (GAS),150.0,1.0,2021,Mar,22,17:00
SAPELE (STEAM),55.0,1.0,2021,Mar,22,17:00
SHIRORO (HYDRO),110.0,4.0,2021,Mar,22,17:00
TRANS-AMADI (GAS),55.5,4.0,2021,Mar,22,17:00
