sector,num,unit,year,month,day,hour
AZURA-EDO IPP (GAS),378.0,3.0,2021,Oct,18,09:00
DELTA (GAS),254.0,8.0,2021,Oct,18,09:00
EGBIN (STEAM),335.0,3.0,2021,Oct,18,09:00
GEREGU (GAS),80.0,1.0,2021,Oct,18,09:00
GEREGU NIPP (GAS),80.0,1.0,2021,Oct,18,09:00
JEBBA (HYDRO),377.0,4.0,2021,Oct,18,09:00
KAINJI (HYDRO),360.0,4.0,2021,Oct,18,09:00
ODUKPANI NIPP (GAS),301.7,3.0,2021,Oct,18,09:00
OLORUNSOGO (GAS),119.6,4.0,2021,Oct,18,09:00
OMOKU (GAS),49.2,3.0,2021,Oct,18,09:00
OMOTOSHO (GAS),160.9,5.0,2021,Oct,18,09:00
PARAS ENERGY (GAS),40.7,7.0,2021,Oct,18,09:00
SAPELE (STEAM),42.0,1.0,2021,Oct,18,09:00
SHIRORO (HYDRO),170.0,3.0,2021,Oct,18,09:00
TRANS-AMADI (GAS),33.4,4.0,2021,Oct,18,09:00
