sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),45.0,1.0,2022,Feb,25,16:00
AFAM VI (GAS/STEAM),50.0,4.0,2022,Feb,25,16:00
ALAOJI NIPP (GAS),91.3,1.0,2022,Feb,25,16:00
AZURA-EDO IPP (GAS),390.0,3.0,2022,Feb,25,16:00
DELTA (GAS),400.0,9.0,2022,Feb,25,16:00
EGBIN (STEAM),704.0,4.0,2022,Feb,25,16:00
GEREGU (GAS),130.0,1.0,2022,Feb,25,16:00
IBOM POWER (GAS),25.2,1.0,2022,Feb,25,16:00
IHOVBOR NIPP (GAS),90.0,1.0,2022,Feb,25,16:00
JEBBA (HYDRO),332.0,4.0,2022,Feb,25,16:00
KAINJI (HYDRO),369.0,4.0,2022,Feb,25,16:00
ODUKPANI NIPP (GAS),198.9,2.0,2022,Feb,25,16:00
OLORUNSOGO (GAS),76.3,3.0,2022,Feb,25,16:00
OMOKU (GAS),45.6,3.0,2022,Feb,25,16:00
OMOTOSHO (GAS),64.4,2.0,2022,Feb,25,16:00
OMOTOSHO NIPP (GAS),101.4,1.0,2022,Feb,25,16:00
PARAS ENERGY (GAS),43.3,6.0,2022,Feb,25,16:00
RIVERS IPP (GAS),157.0,1.0,2022,Feb,25,16:00
SAPELE (STEAM),31.0,1.0,2022,Feb,25,16:00
SAPELE NIPP (GAS),86.1,1.0,2022,Feb,25,16:00
SHIRORO (HYDRO),297.0,2.0,2022,Feb,25,16:00
TRANS-AMADI (GAS),91.8,4.0,2022,Feb,25,16:00
