sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),70.0,1.0,2022,Jan,2,20:30
AFAM VI (GAS/STEAM),175.0,4.0,2022,Jan,2,20:30
ALAOJI NIPP (GAS),199.7,2.0,2022,Jan,2,20:30
AZURA-EDO IPP (GAS),411.0,3.0,2022,Jan,2,20:30
GEREGU (GAS),408.0,3.0,2022,Jan,2,20:30
GEREGU NIPP (GAS),90.0,1.0,2022,Jan,2,20:30
JEBBA (HYDRO),446.0,5.0,2022,Jan,2,20:30
ODUKPANI NIPP (GAS),309.8,3.0,2022,Jan,2,20:30
OLORUNSOGO (GAS),106.4,4.0,2022,Jan,2,20:30
OMOKU (GAS),53.4,3.0,2022,Jan,2,20:30
OMOTOSHO (GAS),63.3,2.0,2022,Jan,2,20:30
PARAS ENERGY (GAS),35.4,1.0,2022,Jan,2,20:30
RIVERS IPP (GAS),155.0,1.0,2022,Jan,2,20:30
SAPELE (STEAM),52.0,1.0,2022,Jan,2,20:30
SHIRORO (HYDRO),583.0,4.0,2022,Jan,2,20:30
TRANS-AMADI (GAS),89.6,4.0,2022,Jan,2,20:30
