sector,num,unit,year,month,day,hour
AFAM IV & V (GAS),50.0,1.0,2022,Jul,7,14:00
AFAM VI (GAS/STEAM),0.0,4.0,2022,Jul,7,14:00
AZURA-EDO IPP (GAS),420.0,3.0,2022,Jul,7,14:00
DADINKOWA G.S (HYDRO),30.0,2.0,2022,Jul,7,14:00
DELTA (GAS),538.0,10.0,2022,Jul,7,14:00
EGBIN (STEAM),348.0,2.0,2022,Jul,7,14:00
GEREGU (GAS),275.0,2.0,2022,Jul,7,14:00
GEREGU NIPP (GAS),100.0,1.0,2022,Jul,7,14:00
IBOM POWER (GAS),78.0,1.0,2022,Jul,7,14:00
IHOVBOR NIPP (GAS),101.7,2.0,2022,Jul,7,14:00
JEBBA (HYDRO),247.0,3.0,2022,Jul,7,14:00
KAINJI (HYDRO),190.0,3.0,2022,Jul,7,14:00
ODUKPANI NIPP (GAS),325.2,3.0,2022,Jul,7,14:00
OKPAI (GAS/STEAM),124.0,3.0,2022,Jul,7,14:00
OLORUNSOGO (GAS),94.3,3.0,2022,Jul,7,14:00
OMOKU (GAS),47.8,3.0,2022,Jul,7,14:00
OMOTOSHO (GAS),96.8,3.0,2022,Jul,7,14:00
OMOTOSHO NIPP (GAS),108.0,1.0,2022,Jul,7,14:00
PARAS ENERGY (GAS),45.6,7.0,2022,Jul,7,14:00
RIVERS IPP (GAS),113.0,1.0,2022,Jul,7,14:00
SAPELE (STEAM),50.0,1.0,2022,Jul,7,14:00
SHIRORO (HYDRO),275.0,2.0,2022,Jul,7,14:00
