sector,num,unit,year,month,day,hour
ALAOJI NIPP (GAS),99.1,1.0,2022,May,28,19:00
AZURA-EDO IPP (GAS),411.0,3.0,2022,May,28,19:00
DELTA (GAS),362.0,8.0,2022,May,28,19:00
EGBIN (STEAM),332.0,3.0,2022,May,28,19:00
GEREGU (GAS),271.0,2.0,2022,May,28,19:00
GEREGU NIPP (GAS),131.0,1.0,2022,May,28,19:00
IBOM POWER (GAS),5.7,1.0,2022,May,28,19:00
IHOVBOR NIPP (GAS),72.9,1.0,2022,May,28,19:00
JEBBA (HYDRO),252.0,3.0,2022,May,28,19:00
KAINJI (HYDRO),226.0,4.0,2022,May,28,19:00
ODUKPANI NIPP (GAS),204.7,2.0,2022,May,28,19:00
OLORUNSOGO NIPP (GAS),111.4,1.0,2022,May,28,19:00
OMOKU (GAS),51.3,3.0,2022,May,28,19:00
OMOTOSHO (GAS),154.1,5.0,2022,May,28,19:00
OMOTOSHO NIPP (GAS),85.5,1.0,2022,May,28,19:00
PARAS ENERGY (GAS),45.6,7.0,2022,May,28,19:00
RIVERS IPP (GAS),162.0,1.0,2022,May,28,19:00
SAPELE (STEAM),53.0,1.0,2022,May,28,19:00
SAPELE NIPP (GAS),88.6,1.0,2022,May,28,19:00
SHIRORO (HYDRO),109.0,2.0,2022,May,28,19:00
