KAYNAK ADI,KURULU GÜÇ,BİRİM,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,date
DOĞAL GAZ,25803.86,MWH,12697.6,12716.8,12716.31,12732.26,12160.15,11360.01,11270.4,12100.0,12035.71,11975.09,11878.68,11820.32,11823.31,12048.84,12554.94,12571.37,12682.78,12671.31,12701.16,12769.41,12837.65,12907.06,12949.08,12962.75,2020-05-20
BARAJLI,21317.101,MWH,17254.23,17264.23,17224.23,17219.23,17218.23,17214.83,17233.53,17255.53,16889.13,16885.83,16898.73,17027.43,16974.03,16978.23,16940.23,17091.43,17044.43,17048.43,17051.93,17064.93,17506.33,17506.33,17480.33,17378.73,2020-05-20
LİNYİT,10319.732,MWH,3559.0,3563.0,3621.0,3622.0,3631.0,3501.0,3442.0,3441.0,3496.0,3496.0,3496.0,3495.0,3495.0,3494.0,3493.0,3492.0,3493.0,3488.0,3490.0,3492.0,3493.0,3493.0,3493.0,3494.0,2020-05-20
İTHAL KÖMÜR,8996.25,MWH,5475.2,5459.2,5455.2,5451.2,5459.9,5457.9,5454.9,5453.9,5451.9,5452.9,5454.9,5398.9,5404.9,5450.9,5449.9,5452.9,5448.7,5450.2,5447.2,5444.2,5445.2,5446.2,5447.2,5447.2,2020-05-20
AKARSU,7978.946,MWH,5150.96,5142.36,5132.91,5118.29,5078.0,5090.84,5081.52,5070.42,5043.74,5068.49,4925.6,4934.02,4940.53,5146.37,5147.94,4997.49,5015.66,4997.38,5060.37,5063.54,5096.39,5253.74,5208.45,5166.76,2020-05-20
RÜZGAR,7819.281,MWH,796.58,773.76,728.24,695.9,663.56,689.31,651.8,609.78,554.58,522.01,591.88,761.25,947.71,1151.59,1362.31,1447.54,1412.62,1331.12,1253.24,1187.02,1293.01,1453.45,1557.98,1599.25,2020-05-20
JEOTERMAL,1562.638,MWH,880.8,887.1,900.4,911.8,914.1,915.6,917.4,901.9,872.1,834.5,798.3,767.1,735.1,715.2,697.7,691.2,693.7,701.6,725.8,749.8,782.9,813.3,835.0,854.9,2020-05-20
TAŞ KÖMÜR,844.766,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-05-20
BİYOKÜTLE,758.087,MWH,425.01,427.11,429.63,430.01,431.81,428.33,432.09,432.47,426.94,428.2,427.61,429.5,429.61,430.6,429.91,427.21,429.15,428.27,432.12,431.55,428.96,431.04,432.18,433.38,2020-05-20
ASFALTİT KÖMÜR,405.0,MWH,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,2020-05-20
GÜNEŞ,179.608,MWH,0.0,0.0,0.0,0.0,0.0,1.14,15.17,52.96,101.15,138.18,160.17,166.44,166.44,158.95,153.02,129.59,97.59,52.37,15.26,1.73,0.0,0.0,0.0,0.0,2020-05-20
ATIK ISI,162.625,MWH,18.5,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,13.6,9.9,9.9,9.9,9.2,8.4,8.4,8.4,8.4,8.4,8.4,2020-05-20
FUEL OİL,158.48,MWH,28.32,28.32,28.32,28.32,28.32,25.32,25.32,25.32,28.32,28.32,28.32,28.32,25.32,25.32,25.32,28.32,28.32,28.32,28.32,28.32,28.32,28.32,28.32,25.32,2020-05-20
NAFTA,4.736,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-05-20
LNG,1.95,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-05-20
