unit,year,month,coal,gas,oil,nuclear,hydro,wind,solar,other,fossil,low.carbon,total.prod,coal.perc,gas.perc,oil.perc,nuclear.perc,hydro.perc,wind.perc,solar.perc,other.perc,fossil.perc,low.carbon.perc
Gwh,2016,1,1290.011989,5709.711112,207.73841099999999,0.0,2251.800886,1902.275014,805.638,8286.57151,7207.461512,13246.28541,20453.746922,0.06306971499742507,0.27915233007301216,0.010156496596550584,0.0,0.1100923412510775,0.09300374260297109,0.039388284360429716,0.40513709011853394,0.3523785416669878,0.6476214583330123
Gwh,2016,2,943.703,4637.39,148.438,0.0,2562.224,2153.108,935.2,7474.5005,5729.531,13125.0325,18854.5635,0.05005170233720871,0.24595583981564995,0.007872788993497516,0.0,0.13589410330289536,0.11419558983691137,0.049600723983877965,0.3964292517299592,0.30388033114635615,0.6961196688536438
Gwh,2016,3,757.746,4458.198,197.921,0.0,3035.338,1663.762,1427.902,8037.7215,5413.865,14164.7235,19578.5885,0.038702790040252386,0.22770783501578779,0.010109053571456389,0.0,0.1550335459576159,0.08497864899709189,0.07293181528382396,0.41053631113397165,0.27651967862749655,0.7234803213725034
Gwh,2016,4,999.512,3493.266,77.012,0.0,3653.603,1567.913,1782.469,6979.955,4569.79,13983.94,18553.73,0.053871216192108,0.1882783677460004,0.004150755670153656,0.0,0.19692013411858425,0.0845066194236954,0.09607065533453382,0.3762022515149245,0.24630033960826206,0.753699660391738
Gwh,2016,5,982.066,3583.359,70.6315,0.0,4095.3995,1665.634,2012.562,7405.264,4636.0565,15178.8595,19814.916,0.04956195625558039,0.18084149334773864,0.003564562171245137,0.0,0.2066826576504286,0.08405960439095476,0.10156803087128907,0.37372169531276334,0.23396801177456414,0.7660319882254358
Gwh,2016,6,931.672,3796.27,53.831,0.0,5481.869,1117.502,2035.946,6892.455,4781.773,15527.772,20309.545,0.04587360278135232,0.1869204849246992,0.0026505271289927967,0.0,0.26991589422608925,0.05502348772461422,0.10024577113864443,0.33937023207560785,0.23544461483504434,0.7645553851649558
Gwh,2016,7,1024.336,5379.461,76.512,0.0,4865.7025,856.253,2194.45,8379.372,6480.309,16295.7775,22776.0865,0.044974188168805905,0.23618899585756314,0.003359312847709812,0.0,0.21363206975877969,0.03759438655099944,0.09634886133752608,0.36790218547861586,0.2845224968740789,0.7154775031259211
Gwh,2016,8,1043.002,4380.628,94.829,0.0,3921.7645,1144.33,2125.25,7445.0795,5518.459,14636.424,20154.883,0.05174934530753663,0.21734822276070764,0.004705013668399861,0.0,0.19458135777816224,0.05677681185249251,0.10544591104795795,0.3693933375847431,0.2738025817366441,0.7261974182633558
Gwh,2016,9,978.69,6239.893,100.3355,0.0,3025.2895,832.243,1645.902,8478.735,7318.9185,13982.1695,21301.088,0.04594554043436655,0.2929377597989361,0.004710346250858172,0.0,0.1420251162757508,0.039070445603529735,0.07726844750840896,0.3980423441281497,0.3435936464841608,0.6564063535158392
Gwh,2016,10,1092.359,5875.418,54.912,0.0,2635.2735,1226.176,1210.383,8725.908,7022.689,13797.7405,20820.4295,0.05246572843273958,0.28219485097557667,0.0026374095692886642,0.0,0.12657152437705477,0.058892925335666105,0.058134391511952245,0.419103169797722,0.33729798897760493,0.6627020110223951
Gwh,2016,11,915.74,6614.806,45.938,0.0,3103.992,1503.765,818.087,8374.426894999999,7576.484,13800.270895,21376.754895,0.04283812040218465,0.3094392031199832,0.0021489697676584604,0.0,0.14520407869419044,0.0703458035322157,0.0382699340483784,0.39175389043538916,0.35442629328982633,0.6455737067101738
Gwh,2016,12,1044.243,6915.648,47.211,0.0,2572.2435,1492.459,788.871,9032.451205,8007.102,13886.024705,21893.126705,0.04769729852070483,0.31588215302387984,0.002156430218312209,0.0,0.11749091551242635,0.06817020794289512,0.03603281571562074,0.41257017906616095,0.3657358817628969,0.6342641182371032
