unit,date,year,month,month_date,weekday,coal,gas,oil,nuclear,hydro,wind,solar,other,fossil,low.carbon,total.prod,coal.perc,gas.perc,oil.perc,nuclear.perc,hydro.perc,wind.perc,solar.perc,other.perc,fossil.perc,low.carbon.perc
Gwh,2019-01-01,2019,1,01-01,Tuesday,0.0,44.382,0.0,60.158,7.57815,29.229,0.549,26.35,44.382,123.86415,168.24615,0.0,0.26379206894184504,0.0,0.35755944489665886,0.045042041080880606,0.17372760089903988,0.003263076153599949,0.1566157680279757,0.26379206894184504,0.736207931058155
Gwh,2019-01-02,2019,1,01-02,Wednesday,0.0,98.831,0.0,68.573,5.424099999999999,26.164,1.58,29.047,98.831,130.78810000000001,229.6191,0.0,0.4304128010256987,0.0,0.2986380488382717,0.023622163835673945,0.11394522493991137,0.006880960686632776,0.12650080067381153,0.4304128010256987,0.5695871989743014
Gwh,2019-01-03,2019,1,01-03,Thursday,0.0,100.116,0.0,80.445,3.114,7.895,1.778,33.976,100.116,127.208,227.324,0.0,0.44041104326863856,0.0,0.35387816508595654,0.013698509616230576,0.034730164874804244,0.007821435484154775,0.1494606816702152,0.44041104326863856,0.5595889567313613
Gwh,2019-01-04,2019,1,01-04,Friday,0.0,109.471,0.0,86.238,6.5703000000000005,11.007,0.833,34.955,109.471,139.6033,249.0743,0.0,0.4395114228967019,0.0,0.34623403538622816,0.026378875700945464,0.04419163277784982,0.003344383583533106,0.14033964965474158,0.4395114228967019,0.560488577103298
Gwh,2019-01-05,2019,1,01-05,Saturday,0.0,74.142,0.0,89.731,7.3246,20.421,0.365,34.357,74.142,152.1986,226.3406,0.0,0.3275682754220851,0.0,0.3964423528081131,0.03236096396315995,0.09022243468471852,0.0016126139101866833,0.15179335921173664,0.3275682754220851,0.6724317245779149
Gwh,2019-01-06,2019,1,01-06,Sunday,0.0,61.143,0.0,92.737,7.2351,7.378,0.567,33.306,61.143,141.22310000000002,202.36610000000002,0.0,0.3021405265012272,0.0,0.4582635135034968,0.035752529697414735,0.03645867563786622,0.0028018526818474037,0.1645829019781475,0.3021405265012272,0.6978594734987728
Gwh,2019-01-07,2019,1,01-07,Monday,0.0,81.099,0.0,95.764,5.7892,22.14725,0.729,32.497,81.099,156.92645000000002,238.02545,0.0,0.340715667169204,0.0,0.4023267259866539,0.024321768953698017,0.09304572263176059,0.003062697707324994,0.13652741755135847,0.340715667169204,0.6592843328307961
Gwh,2019-01-08,2019,1,01-08,Tuesday,0.0,75.978,0.0,97.762,4.2941329999999995,51.21125,1.875,30.974,75.978,186.116383,262.094383,0.0,0.28988793704899807,0.0,0.37300303379641675,0.016383918460396763,0.19539239801258923,0.007153911421291314,0.11817880126030782,0.28988793704899807,0.7101120629510019
Gwh,2019-01-09,2019,1,01-09,Wednesday,0.0,84.754,0.0,98.054,3.881056,41.559,3.261,33.254,84.754,180.009056,264.763056,0.0,0.3201126368627502,0.0,0.3703462313866025,0.014658601009651438,0.15696676352005848,0.0123166730633295,0.12559909415760784,0.3201126368627502,0.6798873631372497
Gwh,2019-01-10,2019,1,01-10,Thursday,0.0,100.546,0.0,98.169,8.357611,8.257,1.198,35.1,100.546,151.081611,251.627611,0.0,0.3995825402483355,0.0,0.39013604115170014,0.03321420477977673,0.03281436392129479,0.0047610037516908265,0.13949184614720203,0.3995825402483355,0.6004174597516646
Gwh,2019-01-11,2019,1,01-11,Friday,0.0,97.898,0.0,98.073,5.4625,15.941,1.248,35.024,97.898,155.7485,253.6465,0.0,0.38596235311742916,0.0,0.38665228970240073,0.02153587768804222,0.06284730914875625,0.0049202334745403545,0.13808193686883122,0.38596235311742916,0.6140376468825708
Gwh,2019-01-12,2019,1,01-12,Saturday,0.0,63.87,0.0,97.949,5.9555,36.76,0.556,33.913,63.87,175.1335,239.0035,0.0,0.2672345802467328,0.0,0.409822450298845,0.024918045133230267,0.15380527900219035,0.0023263257651038585,0.14189331955389772,0.2672345802467328,0.7327654197532671
Gwh,2019-01-13,2019,1,01-13,Sunday,0.0,45.182,0.0,97.85,4.0193330000000005,47.068,0.564,31.543,45.182,181.044333,226.22633299999998,0.0,0.19972033936473702,0.0,0.4325314330228745,0.01776686624717557,0.20805712304057902,0.002493078469339818,0.13943115985529414,0.19972033936473702,0.800279660635263
Gwh,2019-01-14,2019,1,01-14,Monday,0.0,82.921,0.0,97.944,5.257167000000001,28.389,2.801,32.149,82.921,166.54016700000003,249.46116700000002,0.0,0.3324004332906853,0.0,0.3926222312589438,0.02107408965981467,0.11380127953943227,0.01122820049983972,0.12887376575128423,0.3324004332906853,0.6675995667093148
Gwh,2019-01-15,2019,1,01-15,Tuesday,0.0,89.518,0.0,97.929,6.7315,28.08,1.724,33.322,89.518,167.7865,257.3045,0.0,0.3479068574393374,0.0,0.38059575328064604,0.026161610076776733,0.1091313987901494,0.006700232603782677,0.12950414780930766,0.3479068574393374,0.6520931425606624
Gwh,2019-01-16,2019,1,01-16,Wednesday,0.0,85.036,0.0,94.067,6.7855,41.774,1.536,33.073,85.036,177.2355,262.2715,0.0,0.324228900204559,0.0,0.3586626835168899,0.025872044808528567,0.1592776950602715,0.005856526538339088,0.12610214987141188,0.324228900204559,0.675771099795441
Gwh,2019-01-17,2019,1,01-17,Thursday,0.0,91.321,0.0,91.03,5.16,35.38,1.679,33.776,91.321,167.025,258.346,0.0,0.3534833130762621,0.0,0.352356916693117,0.01997321421659325,0.13694812383392815,0.006499036176290711,0.13073939600380885,0.3534833130762621,0.646516686923738
Gwh,2019-01-18,2019,1,01-18,Friday,0.0,97.938,0.0,97.958,6.4375,7.088,3.087,34.968,97.938,149.5385,247.4765,0.0,0.3957466668552368,0.0,0.3958274826094599,0.02601257089056941,0.028641103296676657,0.012473911664339848,0.14129826468371748,0.3957466668552368,0.6042533331447633
Gwh,2019-01-19,2019,1,01-19,Saturday,0.0,85.243,0.0,98.109,3.632167,19.135,5.65,35.226,85.243,161.75216700000001,246.995167,0.0,0.34512011322067687,0.0,0.39721020128300727,0.014705417292638766,0.0774711514901828,0.022874941516568218,0.14261817519692602,0.34512011322067687,0.6548798867793231
Gwh,2019-01-20,2019,1,01-20,Sunday,0.0,73.365,0.0,98.12,2.826333,6.017,5.973,34.763,73.365,147.699333,221.06433299999998,0.0,0.3318717180848889,0.0,0.4438526951337736,0.012785115362775415,0.027218321102934324,0.027019284019914692,0.1572528662957131,0.3318717180848889,0.6681282819151112
Gwh,2019-01-21,2019,1,01-21,Monday,0.0,104.637,0.0,98.054,5.1383,5.032,6.034,35.133,104.637,149.3913,254.0283,0.0,0.41191079891492405,0.0,0.38599636339730653,0.020227273890350013,0.019808816576735742,0.02375325898728606,0.13830348823339764,0.41191079891492405,0.588089201085076
Gwh,2019-01-22,2019,1,01-22,Tuesday,0.0,110.383,0.0,98.149,5.118399999999999,30.807,0.936,33.874,110.383,168.8844,279.2674,0.0,0.3952591673786485,0.0,0.3514516911032222,0.018327953781930865,0.11031362772740391,0.0033516264340198677,0.12129593357477457,0.3952591673786485,0.6047408326213514
Gwh,2019-01-23,2019,1,01-23,Wednesday,0.0,113.781,0.0,98.215,4.6789,6.648,0.926,34.222,113.781,144.6899,258.4709,0.0,0.4402081626983928,0.0,0.3799847487666891,0.018102231237636424,0.02572049696890443,0.0035826083323112975,0.1324017519960661,0.4402081626983928,0.5597918373016073
Gwh,2019-01-24,2019,1,01-24,Thursday,0.0,117.548,0.0,98.152,4.8344,2.344,1.05,35.584,117.548,141.96439999999998,259.5124,0.0,0.4529571611992336,0.0,0.3782169946407185,0.018628782285547818,0.009032323696285803,0.004046049437329392,0.13711868874088484,0.4529571611992336,0.5470428388007663
Gwh,2019-01-25,2019,1,01-25,Friday,0.0,109.912,0.0,98.121,4.324,16.04,1.024,35.438,109.912,154.947,264.859,0.0,0.41498306646177785,0.0,0.3704650398891486,0.016325667619374838,0.060560524656515353,0.0038662080578723023,0.13379949331531119,0.41498306646177785,0.5850169335382223
Gwh,2019-01-26,2019,1,01-26,Saturday,0.0,52.908,0.0,97.972,3.1205,38.888667,1.501,34.115,52.908,175.597167,228.50516700000003,0.0,0.23153962203401726,0.0,0.42875179273298436,0.013656146340008142,0.17018725445276253,0.006568779252155816,0.14929640518807175,0.23153962203401726,0.7684603779659827
Gwh,2019-01-27,2019,1,01-27,Sunday,0.0,38.569,0.0,98.008,5.4555,46.587333,1.058,33.239,38.569,184.34783299999998,222.916833,0.0,0.1730196839823218,0.0,0.43966172801315545,0.024473252766873822,0.208989749105219,0.004746164682861792,0.14910942144956812,0.1730196839823218,0.8269803160176782
Gwh,2019-01-28,2019,1,01-28,Monday,0.0,73.376,0.0,98.056,4.954,44.743,2.987,34.301,73.376,185.041,258.417,0.0,0.28394416775986103,0.0,0.37944872047891587,0.01917056540397884,0.17314263380505154,0.011558837073412355,0.13273507547878044,0.28394416775986103,0.716055832240139
Gwh,2019-01-29,2019,1,01-29,Tuesday,0.0,102.337,0.0,98.136,5.8115,16.013,5.435,35.128,102.337,160.5235,262.8605,0.0,0.3893205711774877,0.0,0.3733387100762572,0.02210868502494669,0.06091824370721353,0.02067636636162527,0.13363742365246967,0.3893205711774877,0.6106794288225124
Gwh,2019-01-30,2019,1,01-30,Wednesday,0.0,102.907,0.0,98.121,6.6715,9.752,0.853,35.884,102.907,151.2815,254.1885,0.0,0.4048452231316523,0.0,0.3860166766002396,0.026246269992544903,0.03836522895410296,0.0033557773069985463,0.1411708240144617,0.4048452231316523,0.5951547768683477
Gwh,2019-01-31,2019,1,01-31,Thursday,0.0,111.85,0.0,98.199,6.0495,11.52,1.023,36.016,111.85,152.8075,264.6575,0.0,0.4226216902978377,0.0,0.371041818198993,0.022857844572702454,0.04352795594305847,0.0038653731709851406,0.13608531781642308,0.4226216902978377,0.5773783097021622
Gwh,2019-02-01,2019,2,02-01,Friday,0.0,98.632,0.0,98.079,6.192454,13.8235,1.477,34.591,98.632,154.16295399999998,252.794954,0.0,0.3901660157346337,0.0,0.38797847207029296,0.024495955722280752,0.054682657945775294,0.005842679913618846,0.13683421861339845,0.3901660157346337,0.6098339842653663
Gwh,2019-02-02,2019,2,02-02,Saturday,0.0,58.608,0.0,98.089,3.298796,21.253,1.011,34.462,58.608,158.113796,216.721796,0.0,0.2704296525855664,0.0,0.45260329976224445,0.015221339343274912,0.09806581706253487,0.004664966877627757,0.15901492436875156,0.2704296525855664,0.7295703474144336
Gwh,2019-02-03,2019,2,02-03,Sunday,0.0,54.428,0.0,98.04,4.68225,13.628,6.216,34.15,54.428,156.71625,211.14425,0.0,0.2577763779975064,0.0,0.4643271128624152,0.022175597962056745,0.06454355257128716,0.029439589285523995,0.1617377693212105,0.2577763779975064,0.7422236220024936
Gwh,2019-02-04,2019,2,02-04,Monday,0.0,94.142,0.0,99.229,4.944,44.4085,1.921,34.167,94.142,184.6695,278.8115,0.0,0.33765465197812855,0.0,0.35589995391151363,0.017732410607166488,0.1592778633592947,0.006889959703957692,0.12254516043993881,0.33765465197812855,0.6623453480218714
Gwh,2019-02-05,2019,2,02-05,Tuesday,0.0,102.585,0.0,102.534,4.2415,15.304,2.782,34.235,102.585,159.0965,261.6815,0.0,0.3920223630634951,0.0,0.3918274696529942,0.01620863530666096,0.05848330890796636,0.010631244470854836,0.1308269785980285,0.3920223630634951,0.6079776369365048
