date,mw,region
2005-02-28 0:00,107031,ЕЭС РОССИИ
2005-02-28 1:00,104935,ЕЭС РОССИИ
2005-02-28 2:00,105097,ЕЭС РОССИИ
2005-02-28 3:00,104895,ЕЭС РОССИИ
2005-02-28 4:00,106297,ЕЭС РОССИИ
2005-02-28 5:00,109109,ЕЭС РОССИИ
2005-02-28 6:00,113622,ЕЭС РОССИИ
2005-02-28 7:00,119138,ЕЭС РОССИИ
2005-02-28 8:00,122286,ЕЭС РОССИИ
2005-02-28 9:00,123930,ЕЭС РОССИИ
2005-02-28 10:00,125103,ЕЭС РОССИИ
2005-02-28 11:00,124058,ЕЭС РОССИИ
2005-02-28 12:00,123074,ЕЭС РОССИИ
2005-02-28 13:00,122741,ЕЭС РОССИИ
2005-02-28 14:00,123471,ЕЭС РОССИИ
2005-02-28 15:00,122552,ЕЭС РОССИИ
2005-02-28 16:00,123090,ЕЭС РОССИИ
2005-02-28 17:00,124250,ЕЭС РОССИИ
2005-02-28 18:00,125983,ЕЭС РОССИИ
2005-02-28 19:00,127741,ЕЭС РОССИИ
2005-02-28 20:00,125929,ЕЭС РОССИИ
2005-02-28 21:00,123084,ЕЭС РОССИИ
2005-02-28 22:00,118335,ЕЭС РОССИИ
2005-02-28 23:00,113249,ЕЭС РОССИИ
