date,mw,region
2015-02-16 0:00,123865,ЕЭС РОССИИ
2015-02-16 1:00,122006,ЕЭС РОССИИ
2015-02-16 2:00,121469,ЕЭС РОССИИ
2015-02-16 3:00,122022,ЕЭС РОССИИ
2015-02-16 4:00,123201,ЕЭС РОССИИ
2015-02-16 5:00,126070,ЕЭС РОССИИ
2015-02-16 6:00,130161,ЕЭС РОССИИ
2015-02-16 7:00,135110,ЕЭС РОССИИ
2015-02-16 8:00,139037,ЕЭС РОССИИ
2015-02-16 9:00,141626,ЕЭС РОССИИ
2015-02-16 10:00,142980,ЕЭС РОССИИ
2015-02-16 11:00,142033,ЕЭС РОССИИ
2015-02-16 12:00,141369,ЕЭС РОССИИ
2015-02-16 13:00,141008,ЕЭС РОССИИ
2015-02-16 14:00,142310,ЕЭС РОССИИ
2015-02-16 15:00,142363,ЕЭС РОССИИ
2015-02-16 16:00,141576,ЕЭС РОССИИ
2015-02-16 17:00,141617,ЕЭС РОССИИ
2015-02-16 18:00,144193,ЕЭС РОССИИ
2015-02-16 19:00,144042,ЕЭС РОССИИ
2015-02-16 20:00,140981,ЕЭС РОССИИ
2015-02-16 21:00,138302,ЕЭС РОССИИ
2015-02-16 22:00,134651,ЕЭС РОССИИ
2015-02-16 23:00,129636,ЕЭС РОССИИ
