date,mw,region
2016-08-14 0:00,2676,ОЭС ВОСТОКА
2016-08-14 1:00,2857,ОЭС ВОСТОКА
2016-08-14 2:00,3479,ОЭС ВОСТОКА
2016-08-14 3:00,3776,ОЭС ВОСТОКА
2016-08-14 4:00,4024,ОЭС ВОСТОКА
2016-08-14 5:00,3963,ОЭС ВОСТОКА
2016-08-14 6:00,4024,ОЭС ВОСТОКА
2016-08-14 7:00,3990,ОЭС ВОСТОКА
2016-08-14 8:00,3997,ОЭС ВОСТОКА
2016-08-14 9:00,3991,ОЭС ВОСТОКА
2016-08-14 10:00,4074,ОЭС ВОСТОКА
2016-08-14 11:00,4066,ОЭС ВОСТОКА
2016-08-14 12:00,4128,ОЭС ВОСТОКА
2016-08-14 13:00,4050,ОЭС ВОСТОКА
2016-08-14 14:00,4101,ОЭС ВОСТОКА
2016-08-14 15:00,4170,ОЭС ВОСТОКА
2016-08-14 16:00,3746,ОЭС ВОСТОКА
2016-08-14 17:00,3365,ОЭС ВОСТОКА
2016-08-14 18:00,2984,ОЭС ВОСТОКА
2016-08-14 19:00,2702,ОЭС ВОСТОКА
2016-08-14 20:00,2566,ОЭС ВОСТОКА
2016-08-14 21:00,2587,ОЭС ВОСТОКА
2016-08-14 22:00,2590,ОЭС ВОСТОКА
2016-08-14 23:00,2512,ОЭС ВОСТОКА
