date,mw,region
2022-01-22 0:00,6827,ОЭС ВОСТОКА
2022-01-22 1:00,7264,ОЭС ВОСТОКА
2022-01-22 2:00,7634,ОЭС ВОСТОКА
2022-01-22 3:00,7782,ОЭС ВОСТОКА
2022-01-22 4:00,7869,ОЭС ВОСТОКА
2022-01-22 5:00,7527,ОЭС ВОСТОКА
2022-01-22 6:00,7212,ОЭС ВОСТОКА
2022-01-22 7:00,6973,ОЭС ВОСТОКА
2022-01-22 8:00,6894,ОЭС ВОСТОКА
2022-01-22 9:00,6832,ОЭС ВОСТОКА
2022-01-22 10:00,7027,ОЭС ВОСТОКА
2022-01-22 11:00,7386,ОЭС ВОСТОКА
2022-01-22 12:00,7826,ОЭС ВОСТОКА
2022-01-22 13:00,7713,ОЭС ВОСТОКА
2022-01-22 14:00,7739,ОЭС ВОСТОКА
2022-01-22 15:00,7528,ОЭС ВОСТОКА
2022-01-22 16:00,7570,ОЭС ВОСТОКА
2022-01-22 17:00,7545,ОЭС ВОСТОКА
2022-01-22 18:00,7113,ОЭС ВОСТОКА
2022-01-22 19:00,6819,ОЭС ВОСТОКА
2022-01-22 20:00,6509,ОЭС ВОСТОКА
2022-01-22 21:00,6534,ОЭС ВОСТОКА
2022-01-22 22:00,6541,ОЭС ВОСТОКА
2022-01-22 23:00,6644,ОЭС ВОСТОКА
