date,mw,region
2005-10-08 0:00,9220,ОЭС СЕВ.ЗАПАДА
2005-10-08 1:00,9128,ОЭС СЕВ.ЗАПАДА
2005-10-08 2:00,9067,ОЭС СЕВ.ЗАПАДА
2005-10-08 3:00,9092,ОЭС СЕВ.ЗАПАДА
2005-10-08 4:00,9099,ОЭС СЕВ.ЗАПАДА
2005-10-08 5:00,9182,ОЭС СЕВ.ЗАПАДА
2005-10-08 6:00,9193,ОЭС СЕВ.ЗАПАДА
2005-10-08 7:00,9270,ОЭС СЕВ.ЗАПАДА
2005-10-08 8:00,9338,ОЭС СЕВ.ЗАПАДА
2005-10-08 9:00,9666,ОЭС СЕВ.ЗАПАДА
2005-10-08 10:00,9758,ОЭС СЕВ.ЗАПАДА
2005-10-08 11:00,9749,ОЭС СЕВ.ЗАПАДА
2005-10-08 12:00,9701,ОЭС СЕВ.ЗАПАДА
2005-10-08 13:00,9686,ОЭС СЕВ.ЗАПАДА
2005-10-08 14:00,9585,ОЭС СЕВ.ЗАПАДА
2005-10-08 15:00,9512,ОЭС СЕВ.ЗАПАДА
2005-10-08 16:00,9469,ОЭС СЕВ.ЗАПАДА
2005-10-08 17:00,9569,ОЭС СЕВ.ЗАПАДА
2005-10-08 18:00,9545,ОЭС СЕВ.ЗАПАДА
2005-10-08 19:00,9683,ОЭС СЕВ.ЗАПАДА
2005-10-08 20:00,10390,ОЭС СЕВ.ЗАПАДА
2005-10-08 21:00,9770,ОЭС СЕВ.ЗАПАДА
2005-10-08 22:00,9619,ОЭС СЕВ.ЗАПАДА
2005-10-08 23:00,9504,ОЭС СЕВ.ЗАПАДА
