date,mw,region
2014-05-21 0:00,9404,ОЭС СЕВ.ЗАПАДА
2014-05-21 1:00,9163,ОЭС СЕВ.ЗАПАДА
2014-05-21 2:00,9087,ОЭС СЕВ.ЗАПАДА
2014-05-21 3:00,9116,ОЭС СЕВ.ЗАПАДА
2014-05-21 4:00,9043,ОЭС СЕВ.ЗАПАДА
2014-05-21 5:00,9028,ОЭС СЕВ.ЗАПАДА
2014-05-21 6:00,8998,ОЭС СЕВ.ЗАПАДА
2014-05-21 7:00,9213,ОЭС СЕВ.ЗАПАДА
2014-05-21 8:00,9667,ОЭС СЕВ.ЗАПАДА
2014-05-21 9:00,10256,ОЭС СЕВ.ЗАПАДА
2014-05-21 10:00,10407,ОЭС СЕВ.ЗАПАДА
2014-05-21 11:00,10402,ОЭС СЕВ.ЗАПАДА
2014-05-21 12:00,10243,ОЭС СЕВ.ЗАПАДА
2014-05-21 13:00,10060,ОЭС СЕВ.ЗАПАДА
2014-05-21 14:00,10583,ОЭС СЕВ.ЗАПАДА
2014-05-21 15:00,9560,ОЭС СЕВ.ЗАПАДА
2014-05-21 16:00,10159,ОЭС СЕВ.ЗАПАДА
2014-05-21 17:00,9686,ОЭС СЕВ.ЗАПАДА
2014-05-21 18:00,9643,ОЭС СЕВ.ЗАПАДА
2014-05-21 19:00,9691,ОЭС СЕВ.ЗАПАДА
2014-05-21 20:00,9639,ОЭС СЕВ.ЗАПАДА
2014-05-21 21:00,9860,ОЭС СЕВ.ЗАПАДА
2014-05-21 22:00,10129,ОЭС СЕВ.ЗАПАДА
2014-05-21 23:00,9814,ОЭС СЕВ.ЗАПАДА
