date,mw,region
2005-10-31 0:00,19295,ОЭС СИБИРИ
2005-10-31 1:00,19487,ОЭС СИБИРИ
2005-10-31 2:00,19744,ОЭС СИБИРИ
2005-10-31 3:00,20211,ОЭС СИБИРИ
2005-10-31 4:00,21316,ОЭС СИБИРИ
2005-10-31 5:00,22478,ОЭС СИБИРИ
2005-10-31 6:00,23069,ОЭС СИБИРИ
2005-10-31 7:00,22541,ОЭС СИБИРИ
2005-10-31 8:00,21996,ОЭС СИБИРИ
2005-10-31 9:00,22521,ОЭС СИБИРИ
2005-10-31 10:00,22513,ОЭС СИБИРИ
2005-10-31 11:00,22502,ОЭС СИБИРИ
2005-10-31 12:00,22838,ОЭС СИБИРИ
2005-10-31 13:00,23044,ОЭС СИБИРИ
2005-10-31 14:00,23393,ОЭС СИБИРИ
2005-10-31 15:00,23925,ОЭС СИБИРИ
2005-10-31 16:00,23773,ОЭС СИБИРИ
2005-10-31 17:00,23277,ОЭС СИБИРИ
2005-10-31 18:00,22925,ОЭС СИБИРИ
2005-10-31 19:00,22068,ОЭС СИБИРИ
2005-10-31 20:00,21062,ОЭС СИБИРИ
2005-10-31 21:00,21012,ОЭС СИБИРИ
2005-10-31 22:00,20340,ОЭС СИБИРИ
2005-10-31 23:00,19639,ОЭС СИБИРИ
