date,mw,region
2011-02-22 0:00,25434,ОЭС СИБИРИ
2011-02-22 1:00,25293,ОЭС СИБИРИ
2011-02-22 2:00,25646,ОЭС СИБИРИ
2011-02-22 3:00,26316,ОЭС СИБИРИ
2011-02-22 4:00,26982,ОЭС СИБИРИ
2011-02-22 5:00,27459,ОЭС СИБИРИ
2011-02-22 6:00,27679,ОЭС СИБИРИ
2011-02-22 7:00,27446,ОЭС СИБИРИ
2011-02-22 8:00,26816,ОЭС СИБИРИ
2011-02-22 9:00,26747,ОЭС СИБИРИ
2011-02-22 10:00,26634,ОЭС СИБИРИ
2011-02-22 11:00,26631,ОЭС СИБИРИ
2011-02-22 12:00,26278,ОЭС СИБИРИ
2011-02-22 13:00,26528,ОЭС СИБИРИ
2011-02-22 14:00,26943,ОЭС СИБИРИ
2011-02-22 15:00,27063,ОЭС СИБИРИ
2011-02-22 16:00,27021,ОЭС СИБИРИ
2011-02-22 17:00,27118,ОЭС СИБИРИ
2011-02-22 18:00,27221,ОЭС СИБИРИ
2011-02-22 19:00,27479,ОЭС СИБИРИ
2011-02-22 20:00,26638,ОЭС СИБИРИ
2011-02-22 21:00,25776,ОЭС СИБИРИ
2011-02-22 22:00,24722,ОЭС СИБИРИ
2011-02-22 23:00,24989,ОЭС СИБИРИ
