date,mw,region
2005-07-15 0:00,9963,ОЭС СР. ВОЛГИ
2005-07-15 1:00,9233,ОЭС СР. ВОЛГИ
2005-07-15 2:00,9053,ОЭС СР. ВОЛГИ
2005-07-15 3:00,9143,ОЭС СР. ВОЛГИ
2005-07-15 4:00,8598,ОЭС СР. ВОЛГИ
2005-07-15 5:00,8123,ОЭС СР. ВОЛГИ
2005-07-15 6:00,8578,ОЭС СР. ВОЛГИ
2005-07-15 7:00,9565,ОЭС СР. ВОЛГИ
2005-07-15 8:00,10437,ОЭС СР. ВОЛГИ
2005-07-15 9:00,10245,ОЭС СР. ВОЛГИ
2005-07-15 10:00,10181,ОЭС СР. ВОЛГИ
2005-07-15 11:00,10367,ОЭС СР. ВОЛГИ
2005-07-15 12:00,10575,ОЭС СР. ВОЛГИ
2005-07-15 13:00,10196,ОЭС СР. ВОЛГИ
2005-07-15 14:00,10512,ОЭС СР. ВОЛГИ
2005-07-15 15:00,9969,ОЭС СР. ВОЛГИ
2005-07-15 16:00,10023,ОЭС СР. ВОЛГИ
2005-07-15 17:00,9829,ОЭС СР. ВОЛГИ
2005-07-15 18:00,10353,ОЭС СР. ВОЛГИ
2005-07-15 19:00,9847,ОЭС СР. ВОЛГИ
2005-07-15 20:00,9376,ОЭС СР. ВОЛГИ
2005-07-15 21:00,9679,ОЭС СР. ВОЛГИ
2005-07-15 22:00,9463,ОЭС СР. ВОЛГИ
2005-07-15 23:00,9822,ОЭС СР. ВОЛГИ
