date,mw,region
2015-08-14 0:00,8662,ОЭС СР. ВОЛГИ
2015-08-14 1:00,9681,ОЭС СР. ВОЛГИ
2015-08-14 2:00,8620,ОЭС СР. ВОЛГИ
2015-08-14 3:00,8823,ОЭС СР. ВОЛГИ
2015-08-14 4:00,8470,ОЭС СР. ВОЛГИ
2015-08-14 5:00,8534,ОЭС СР. ВОЛГИ
2015-08-14 6:00,8983,ОЭС СР. ВОЛГИ
2015-08-14 7:00,9257,ОЭС СР. ВОЛГИ
2015-08-14 8:00,9045,ОЭС СР. ВОЛГИ
2015-08-14 9:00,10777,ОЭС СР. ВОЛГИ
2015-08-14 10:00,10056,ОЭС СР. ВОЛГИ
2015-08-14 11:00,10302,ОЭС СР. ВОЛГИ
2015-08-14 12:00,10531,ОЭС СР. ВОЛГИ
2015-08-14 13:00,10626,ОЭС СР. ВОЛГИ
2015-08-14 14:00,10952,ОЭС СР. ВОЛГИ
2015-08-14 15:00,10702,ОЭС СР. ВОЛГИ
2015-08-14 16:00,10397,ОЭС СР. ВОЛГИ
2015-08-14 17:00,10006,ОЭС СР. ВОЛГИ
2015-08-14 18:00,10211,ОЭС СР. ВОЛГИ
2015-08-14 19:00,9528,ОЭС СР. ВОЛГИ
2015-08-14 20:00,9565,ОЭС СР. ВОЛГИ
2015-08-14 21:00,10877,ОЭС СР. ВОЛГИ
2015-08-14 22:00,9695,ОЭС СР. ВОЛГИ
2015-08-14 23:00,8692,ОЭС СР. ВОЛГИ
