date,mw,region
2008-07-24 0:00,25461,ОЭС УРАЛА
2008-07-24 1:00,25073,ОЭС УРАЛА
2008-07-24 2:00,24523,ОЭС УРАЛА
2008-07-24 3:00,24188,ОЭС УРАЛА
2008-07-24 4:00,24376,ОЭС УРАЛА
2008-07-24 5:00,24589,ОЭС УРАЛА
2008-07-24 6:00,25119,ОЭС УРАЛА
2008-07-24 7:00,25307,ОЭС УРАЛА
2008-07-24 8:00,25945,ОЭС УРАЛА
2008-07-24 9:00,26393,ОЭС УРАЛА
2008-07-24 10:00,26377,ОЭС УРАЛА
2008-07-24 11:00,26112,ОЭС УРАЛА
2008-07-24 12:00,26088,ОЭС УРАЛА
2008-07-24 13:00,26656,ОЭС УРАЛА
2008-07-24 14:00,26182,ОЭС УРАЛА
2008-07-24 15:00,25999,ОЭС УРАЛА
2008-07-24 16:00,25986,ОЭС УРАЛА
2008-07-24 17:00,25659,ОЭС УРАЛА
2008-07-24 18:00,25680,ОЭС УРАЛА
2008-07-24 19:00,25639,ОЭС УРАЛА
2008-07-24 20:00,25536,ОЭС УРАЛА
2008-07-24 21:00,25655,ОЭС УРАЛА
2008-07-24 22:00,25585,ОЭС УРАЛА
2008-07-24 23:00,24934,ОЭС УРАЛА
