date,mw,region
2009-07-14 0:00,23049,ОЭС УРАЛА
2009-07-14 1:00,22510,ОЭС УРАЛА
2009-07-14 2:00,21750,ОЭС УРАЛА
2009-07-14 3:00,21557,ОЭС УРАЛА
2009-07-14 4:00,21380,ОЭС УРАЛА
2009-07-14 5:00,22008,ОЭС УРАЛА
2009-07-14 6:00,23109,ОЭС УРАЛА
2009-07-14 7:00,23864,ОЭС УРАЛА
2009-07-14 8:00,25025,ОЭС УРАЛА
2009-07-14 9:00,25302,ОЭС УРАЛА
2009-07-14 10:00,25233,ОЭС УРАЛА
2009-07-14 11:00,25250,ОЭС УРАЛА
2009-07-14 12:00,25233,ОЭС УРАЛА
2009-07-14 13:00,25058,ОЭС УРАЛА
2009-07-14 14:00,25353,ОЭС УРАЛА
2009-07-14 15:00,25084,ОЭС УРАЛА
2009-07-14 16:00,25041,ОЭС УРАЛА
2009-07-14 17:00,24977,ОЭС УРАЛА
2009-07-14 18:00,24927,ОЭС УРАЛА
2009-07-14 19:00,24731,ОЭС УРАЛА
2009-07-14 20:00,24408,ОЭС УРАЛА
2009-07-14 21:00,23874,ОЭС УРАЛА
2009-07-14 22:00,23073,ОЭС УРАЛА
2009-07-14 23:00,22107,ОЭС УРАЛА
