date,mw,region
2017-11-04 0:00,25703,ОЭС ЦЕНТРА
2017-11-04 1:00,23927,ОЭС ЦЕНТРА
2017-11-04 2:00,23946,ОЭС ЦЕНТРА
2017-11-04 3:00,23568,ОЭС ЦЕНТРА
2017-11-04 4:00,23744,ОЭС ЦЕНТРА
2017-11-04 5:00,23762,ОЭС ЦЕНТРА
2017-11-04 6:00,23763,ОЭС ЦЕНТРА
2017-11-04 7:00,25875,ОЭС ЦЕНТРА
2017-11-04 8:00,26125,ОЭС ЦЕНТРА
2017-11-04 9:00,27940,ОЭС ЦЕНТРА
2017-11-04 10:00,28275,ОЭС ЦЕНТРА
2017-11-04 11:00,28152,ОЭС ЦЕНТРА
2017-11-04 12:00,28160,ОЭС ЦЕНТРА
2017-11-04 13:00,28177,ОЭС ЦЕНТРА
2017-11-04 14:00,28283,ОЭС ЦЕНТРА
2017-11-04 15:00,28337,ОЭС ЦЕНТРА
2017-11-04 16:00,28903,ОЭС ЦЕНТРА
2017-11-04 17:00,30406,ОЭС ЦЕНТРА
2017-11-04 18:00,30459,ОЭС ЦЕНТРА
2017-11-04 19:00,30459,ОЭС ЦЕНТРА
2017-11-04 20:00,29418,ОЭС ЦЕНТРА
2017-11-04 21:00,28450,ОЭС ЦЕНТРА
2017-11-04 22:00,27617,ОЭС ЦЕНТРА
2017-11-04 23:00,26777,ОЭС ЦЕНТРА
