date,mw,region
2021-04-08 0:00,25192,ОЭС ЦЕНТРА
2021-04-08 1:00,24179,ОЭС ЦЕНТРА
2021-04-08 2:00,23965,ОЭС ЦЕНТРА
2021-04-08 3:00,23992,ОЭС ЦЕНТРА
2021-04-08 4:00,23965,ОЭС ЦЕНТРА
2021-04-08 5:00,24058,ОЭС ЦЕНТРА
2021-04-08 6:00,24493,ОЭС ЦЕНТРА
2021-04-08 7:00,25986,ОЭС ЦЕНТРА
2021-04-08 8:00,27280,ОЭС ЦЕНТРА
2021-04-08 9:00,27805,ОЭС ЦЕНТРА
2021-04-08 10:00,28847,ОЭС ЦЕНТРА
2021-04-08 11:00,28995,ОЭС ЦЕНТРА
2021-04-08 12:00,28209,ОЭС ЦЕНТРА
2021-04-08 13:00,28056,ОЭС ЦЕНТРА
2021-04-08 14:00,28073,ОЭС ЦЕНТРА
2021-04-08 15:00,27919,ОЭС ЦЕНТРА
2021-04-08 16:00,27965,ОЭС ЦЕНТРА
2021-04-08 17:00,27925,ОЭС ЦЕНТРА
2021-04-08 18:00,27929,ОЭС ЦЕНТРА
2021-04-08 19:00,28535,ОЭС ЦЕНТРА
2021-04-08 20:00,28800,ОЭС ЦЕНТРА
2021-04-08 21:00,28531,ОЭС ЦЕНТРА
2021-04-08 22:00,27328,ОЭС ЦЕНТРА
2021-04-08 23:00,25896,ОЭС ЦЕНТРА
