date,mw,region
2004-06-03 0:00,3668,ОЭС ЮГА
2004-06-03 1:00,3461,ОЭС ЮГА
2004-06-03 2:00,3416,ОЭС ЮГА
2004-06-03 3:00,3424,ОЭС ЮГА
2004-06-03 4:00,3417,ОЭС ЮГА
2004-06-03 5:00,3545,ОЭС ЮГА
2004-06-03 6:00,3738,ОЭС ЮГА
2004-06-03 7:00,3789,ОЭС ЮГА
2004-06-03 8:00,4410,ОЭС ЮГА
2004-06-03 9:00,4829,ОЭС ЮГА
2004-06-03 10:00,5130,ОЭС ЮГА
2004-06-03 11:00,5093,ОЭС ЮГА
2004-06-03 12:00,4770,ОЭС ЮГА
2004-06-03 13:00,4637,ОЭС ЮГА
2004-06-03 14:00,4605,ОЭС ЮГА
2004-06-03 15:00,4226,ОЭС ЮГА
2004-06-03 16:00,4256,ОЭС ЮГА
2004-06-03 17:00,4251,ОЭС ЮГА
2004-06-03 18:00,4425,ОЭС ЮГА
2004-06-03 19:00,4611,ОЭС ЮГА
2004-06-03 20:00,4653,ОЭС ЮГА
2004-06-03 21:00,4922,ОЭС ЮГА
2004-06-03 22:00,4987,ОЭС ЮГА
2004-06-03 23:00,4829,ОЭС ЮГА
