date,mw,region
2014-11-04 0:00,9715,ОЭС ЮГА
2014-11-04 1:00,8791,ОЭС ЮГА
2014-11-04 2:00,9000,ОЭС ЮГА
2014-11-04 3:00,8807,ОЭС ЮГА
2014-11-04 4:00,9044,ОЭС ЮГА
2014-11-04 5:00,9535,ОЭС ЮГА
2014-11-04 6:00,8538,ОЭС ЮГА
2014-11-04 7:00,8303,ОЭС ЮГА
2014-11-04 8:00,8764,ОЭС ЮГА
2014-11-04 9:00,9490,ОЭС ЮГА
2014-11-04 10:00,10071,ОЭС ЮГА
2014-11-04 11:00,10168,ОЭС ЮГА
2014-11-04 12:00,10338,ОЭС ЮГА
2014-11-04 13:00,10423,ОЭС ЮГА
2014-11-04 14:00,10077,ОЭС ЮГА
2014-11-04 15:00,10541,ОЭС ЮГА
2014-11-04 16:00,11299,ОЭС ЮГА
2014-11-04 17:00,10680,ОЭС ЮГА
2014-11-04 18:00,11612,ОЭС ЮГА
2014-11-04 19:00,11709,ОЭС ЮГА
2014-11-04 20:00,11614,ОЭС ЮГА
2014-11-04 21:00,11251,ОЭС ЮГА
2014-11-04 22:00,10953,ОЭС ЮГА
2014-11-04 23:00,10466,ОЭС ЮГА
