datetime,Coal,region,Wind,Hydro,Solar,Other,Petroleum,Nuclear,Natural gas
2022-04-01 00:00:00,290,CAL,3608,1765,10776,606,-3,1135,4954
2022-04-01 01:00:00,290,CAL,3827,2762,5038,1257,-2,1134,6324
2022-04-01 02:00:00,291,CAL,3844,4048,333,1738,-3,1135,9017
2022-04-01 03:00:00,290,CAL,3922,4454,43,1866,-3,1134,9637
2022-04-01 04:00:00,288,CAL,4127,3714,35,1765,-3,1135,9090
2022-04-01 05:00:00,289,CAL,3956,3359,13,1288,-3,1134,7972
2022-04-01 06:00:00,289,CAL,3431,2698,13,826,4,1134,7881
2022-04-01 07:00:00,290,CAL,2945,2246,0,907,19,1133,7527
2022-04-01 08:00:00,290,CAL,2745,1760,0,900,39,1134,7585
2022-04-01 09:00:00,290,CAL,2446,1661,0,709,46,1134,7271
2022-04-01 10:00:00,291,CAL,1909,1642,0,700,45,1134,7283
2022-04-01 11:00:00,289,CAL,1564,1691,0,728,46,1134,7500
2022-04-01 12:00:00,291,CAL,1241,2033,0,858,46,1135,8216
2022-04-01 13:00:00,289,CAL,1287,3038,-10,753,46,1135,8969
2022-04-01 14:00:00,289,CAL,1105,3250,1082,999,46,1134,9584
2022-04-01 15:00:00,287,CAL,1025,2386,7898,899,46,1134,6591
2022-04-01 16:00:00,286,CAL,1230,1822,12504,740,46,1134,4575
2022-04-01 17:00:00,286,CAL,1177,1751,13497,595,46,1133,4036
2022-04-01 18:00:00,286,CAL,1312,1717,13048,600,46,1134,3994
2022-04-01 19:00:00,287,CAL,1308,1688,13330,530,46,1133,3898
2022-04-01 20:00:00,286,CAL,1207,1775,13589,529,46,1133,3824
2022-04-01 21:00:00,285,CAL,886,1596,14998,562,46,1132,4134
2022-04-01 22:00:00,282,CAL,947,1633,13765,600,46,1132,4346
2022-04-01 23:00:00,283,CAL,939,1729,13309,675,46,1132,4251
2022-04-02 00:00:00,284,CAL,848,1968,11860,671,46,1132,5752
2022-04-02 01:00:00,284,CAL,902,2859,5750,1161,46,1133,7569
2022-04-02 02:00:00,284,CAL,1487,3807,474,1876,46,1133,10265
2022-04-02 03:00:00,285,CAL,2005,4122,70,1914,46,1134,10331
2022-04-02 04:00:00,285,CAL,2449,3705,43,1952,46,1133,9344
2022-04-02 05:00:00,283,CAL,2361,3104,4,1635,46,1134,9167
2022-04-02 06:00:00,285,CAL,2102,2330,3,1511,46,1133,8546
2022-04-02 07:00:00,284,CAL,2480,2328,3,886,46,1134,8286
