datetime,data,type,unit,network,region
2001-12-01 00:00:00,6003.0,coal_brown,MW,nem,VIC1
2001-12-01 00:05:00,6025.0,coal_brown,MW,nem,VIC1
2001-12-01 00:10:00,5972.0,coal_brown,MW,nem,VIC1
2001-12-01 00:15:00,5972.0,coal_brown,MW,nem,VIC1
2001-12-01 00:20:00,5945.0,coal_brown,MW,nem,VIC1
2001-12-01 00:25:00,5946.0,coal_brown,MW,nem,VIC1
2001-12-01 00:30:00,5876.0,coal_brown,MW,nem,VIC1
2001-12-01 00:35:00,5911.0,coal_brown,MW,nem,VIC1
2001-12-01 00:40:00,5897.0,coal_brown,MW,nem,VIC1
2001-12-01 00:45:00,5842.0,coal_brown,MW,nem,VIC1
2001-12-01 00:50:00,5844.0,coal_brown,MW,nem,VIC1
2001-12-01 00:55:00,5795.0,coal_brown,MW,nem,VIC1
2001-12-01 01:00:00,5829.0,coal_brown,MW,nem,VIC1
2001-12-01 01:05:00,5883.0,coal_brown,MW,nem,VIC1
2001-12-01 01:10:00,5963.0,coal_brown,MW,nem,VIC1
2001-12-01 01:15:00,5993.0,coal_brown,MW,nem,VIC1
2001-12-01 01:20:00,5988.0,coal_brown,MW,nem,VIC1
2001-12-01 01:25:00,5960.0,coal_brown,MW,nem,VIC1
2001-12-01 01:30:00,5967.0,coal_brown,MW,nem,VIC1
2001-12-01 01:35:00,5952.0,coal_brown,MW,nem,VIC1
2001-12-01 01:40:00,5965.0,coal_brown,MW,nem,VIC1
2001-12-01 01:45:00,5957.0,coal_brown,MW,nem,VIC1
2001-12-01 01:50:00,5954.0,coal_brown,MW,nem,VIC1
2001-12-01 01:55:00,5932.0,coal_brown,MW,nem,VIC1
2001-12-01 02:00:00,5893.0,coal_brown,MW,nem,VIC1
2001-12-01 02:05:00,5862.0,coal_brown,MW,nem,VIC1
2001-12-01 02:10:00,5840.0,coal_brown,MW,nem,VIC1
2001-12-01 02:15:00,5794.0,coal_brown,MW,nem,VIC1
2001-12-01 02:20:00,5775.0,coal_brown,MW,nem,VIC1
2001-12-01 02:25:00,5792.0,coal_brown,MW,nem,VIC1
2001-12-01 02:30:00,5775.0,coal_brown,MW,nem,VIC1
2001-12-01 02:35:00,5739.0,coal_brown,MW,nem,VIC1
2001-12-01 02:40:00,5714.0,coal_brown,MW,nem,VIC1
2001-12-01 02:45:00,5668.0,coal_brown,MW,nem,VIC1
2001-12-01 02:50:00,5656.0,coal_brown,MW,nem,VIC1
2001-12-01 02:55:00,5623.0,coal_brown,MW,nem,VIC1
2001-12-01 03:00:00,5652.0,coal_brown,MW,nem,VIC1
2001-12-01 03:05:00,5609.0,coal_brown,MW,nem,VIC1
2001-12-01 03:10:00,5574.0,coal_brown,MW,nem,VIC1
2001-12-01 03:15:00,5569.0,coal_brown,MW,nem,VIC1
2001-12-01 03:20:00,5593.0,coal_brown,MW,nem,VIC1
2001-12-01 03:25:00,5584.0,coal_brown,MW,nem,VIC1
2001-12-01 03:30:00,5577.0,coal_brown,MW,nem,VIC1
2001-12-01 03:35:00,5555.0,coal_brown,MW,nem,VIC1
2001-12-01 03:40:00,5517.0,coal_brown,MW,nem,VIC1
2001-12-01 03:45:00,5521.0,coal_brown,MW,nem,VIC1
2001-12-01 03:50:00,5530.0,coal_brown,MW,nem,VIC1
2001-12-01 03:55:00,5536.0,coal_brown,MW,nem,VIC1
2001-12-01 04:00:00,5503.0,coal_brown,MW,nem,VIC1
2001-12-01 04:05:00,5523.0,coal_brown,MW,nem,VIC1
2001-12-01 04:10:00,5550.0,coal_brown,MW,nem,VIC1
2001-12-01 04:15:00,5516.0,coal_brown,MW,nem,VIC1
2001-12-01 04:20:00,5528.0,coal_brown,MW,nem,VIC1
2001-12-01 04:25:00,5547.0,coal_brown,MW,nem,VIC1
2001-12-01 04:30:00,5517.0,coal_brown,MW,nem,VIC1
2001-12-01 04:35:00,5548.0,coal_brown,MW,nem,VIC1
2001-12-01 04:40:00,5529.0,coal_brown,MW,nem,VIC1
