unit,datetime,date,year,month,month_date,weekday,hour,coal,oil,gas,nuclear,hydro,wind,solar,other,fossil,low.carbon,total.prod,coal.perc,oil.perc,gas.perc,nuclear.perc,hydro.perc,wind.perc,solar.perc,other.perc,fossil.perc,low.carbon.perc
Mwh,2021-01-01 00:00:00,2021-01-01,2021,1,01-01,Friday,0,0.0,0.0,2467.0,4993.0,210.333,237.0,0.0,1282.0,2467.0,6722.333,9189.332999999999,0.0,0.0,0.26846344560589985,0.5433473789664605,0.022888821201712903,0.025790772844993214,0.0,0.13950958138093375,0.26846344560589985,0.7315365543941003
Mwh,2021-01-01 01:00:00,2021-01-01,2021,1,01-01,Friday,1,0.0,0.0,1894.0,4991.0,375.5,233.0,0.0,1284.0,1894.0,6883.5,8777.5,0.0,0.0,0.21577898034747936,0.568612930788949,0.042779834804898886,0.026545143833665623,0.0,0.14628311022500712,0.21577898034747936,0.7842210196525207
Mwh,2021-01-01 02:00:00,2021-01-01,2021,1,01-01,Friday,2,0.0,0.0,1787.0,4988.0,341.66700000000003,243.0,0.0,1274.0,1787.0,6846.667,8633.667000000001,0.0,0.0,0.20698041747498483,0.5777382889564769,0.03957379871148609,0.028145630356139515,0.0,0.14756186450091252,0.20698041747498483,0.793019582525015
Mwh,2021-01-01 03:00:00,2021-01-01,2021,1,01-01,Friday,3,0.0,0.0,1676.0,4990.0,333.83299999999997,242.0,0.0,1214.0,1676.0,6779.833,8455.832999999999,0.0,0.0,0.1982063742271164,0.5901251834088966,0.03947961129317479,0.028619297471934466,0.0,0.14356953359887786,0.1982063742271164,0.8017936257728837
Mwh,2021-01-01 04:00:00,2021-01-01,2021,1,01-01,Friday,4,0.0,0.0,1527.0,4990.0,328.0,272.0,0.0,1203.0,1527.0,6793.0,8320.0,0.0,0.0,0.18353365384615383,0.5997596153846154,0.03942307692307692,0.032692307692307694,0.0,0.14459134615384617,0.18353365384615383,0.8164663461538462
Mwh,2021-01-01 05:00:00,2021-01-01,2021,1,01-01,Friday,5,0.0,0.0,1439.0,4990.0,191.167,283.0,0.0,1212.0,1439.0,6676.167,8115.167,0.0,0.0,0.17732229047165635,0.6148980051796838,0.023556754901039003,0.034872973039248606,0.0,0.1493499764083721,0.17732229047165635,0.8226777095283436
Mwh,2021-01-01 06:00:00,2021-01-01,2021,1,01-01,Friday,6,0.0,0.0,1449.0,4990.0,454.33299999999997,327.0,0.0,1199.0,1449.0,6970.333,8419.332999999999,0.0,0.0,0.17210389469094525,0.592683529681033,0.05396306334480416,0.03883918120354665,0.0,0.14241033107967105,0.17210389469094525,0.8278961053090549
Mwh,2021-01-01 07:00:00,2021-01-01,2021,1,01-01,Friday,7,0.0,0.0,1459.0,4992.0,308.5,359.0,0.0,1210.0,1459.0,6869.5,8328.5,0.0,0.0,0.17518160533109203,0.5993876448340038,0.03704148406075524,0.0431050009005223,0.0,0.1452842648736267,0.17518160533109203,0.8248183946689079
Mwh,2021-01-01 08:00:00,2021-01-01,2021,1,01-01,Friday,8,0.0,0.0,1472.0,4993.0,162.667,312.0,0.0,1230.0,1472.0,6697.667,8169.667,0.0,0.0,0.18017870251015125,0.6111632212181966,0.019911093071480146,0.03819005107552119,0.0,0.15055693212465085,0.18017870251015125,0.8198212974898488
Mwh,2021-01-01 09:00:00,2021-01-01,2021,1,01-01,Friday,9,0.0,0.0,1459.0,4991.0,145.833,282.0,2.0,1297.0,1459.0,6717.833,8176.833,0.0,0.0,0.17843094019408248,0.610383017483664,0.01783490013798741,0.03448768001009682,0.0002445934752489136,0.15861886869892047,0.17843094019408248,0.8215690598059175
