unit,datetime,date,year,month,month_date,weekday,hour,coal,oil,gas,nuclear,hydro,wind,solar,other,fossil,low.carbon,total.prod,coal.perc,oil.perc,gas.perc,nuclear.perc,hydro.perc,wind.perc,solar.perc,other.perc,fossil.perc,low.carbon.perc
Mwh,2022-01-01 00:00:00,2022-01-01,2022,1,01-01,Saturday,0,2706.0,170.0,6650.0,,3482.0,1805.0,0.0,3532.0,9526.0,8819.0,18345.0,0.14750613246116107,0.009266830198964295,0.3624965930771327,,0.1898064867811393,0.09839193240665031,0.0,0.1925320250749523,0.5192695557372581,0.4807304442627419
Mwh,2022-01-01 01:00:00,2022-01-01,2022,1,01-01,Saturday,1,2070.0,180.0,6821.0,,2874.0,1885.0,0.0,2732.0,9071.0,7491.0,16562.0,0.12498490520468543,0.010868252626494384,0.41184639536287887,,0.17352976693636035,0.11381475667189953,0.0,0.16495592319768143,0.5476995531940587,0.45230044680594134
Mwh,2022-01-01 02:00:00,2022-01-01,2022,1,01-01,Saturday,2,1982.0,202.0,6234.0,,2461.0,2024.0,0.0,2717.0,8418.0,7202.0,15620.0,0.12688860435339308,0.01293213828425096,0.39910371318822024,,0.15755441741357235,0.1295774647887324,0.0,0.17394366197183098,0.5389244558258642,0.4610755441741357
Mwh,2022-01-01 03:00:00,2022-01-01,2022,1,01-01,Saturday,3,1904.0,268.0,5559.0,,2282.0,2140.0,0.0,2749.0,7731.0,7171.0,14902.0,0.1277680848208294,0.017984163199570528,0.37303717621795734,,0.15313380754261172,0.14360488525030196,0.0,0.18447188296872902,0.5187894242383573,0.4812105757616427
Mwh,2022-01-01 04:00:00,2022-01-01,2022,1,01-01,Saturday,4,1836.0,290.0,5212.0,,2686.0,2233.0,0.0,2680.0,7338.0,7599.0,14937.0,0.122916248242619,0.019414875811742654,0.3489321818303541,,0.17982191872531297,0.14949454375041843,0.0,0.17942023163955279,0.4912633058847158,0.5087366941152842
Mwh,2022-01-01 05:00:00,2022-01-01,2022,1,01-01,Saturday,5,1837.0,187.0,4672.0,,2735.0,2368.0,0.0,2662.0,6696.0,7765.0,14461.0,0.12703132563446512,0.012931332549616209,0.3230758592075237,,0.1891293824770071,0.1637507779544983,0.0,0.18408132217688958,0.463038517391605,0.536961482608395
Mwh,2022-01-01 06:00:00,2022-01-01,2022,1,01-01,Saturday,6,1851.0,169.0,4667.0,,2312.0,2151.0,0.0,2732.0,6687.0,7195.0,13882.0,0.1333381357153148,0.012174038323008212,0.3361907506123037,,0.1665466071171301,0.15494885463189742,0.0,0.19680161360034576,0.4817029246506267,0.5182970753493733
Mwh,2022-01-01 07:00:00,2022-01-01,2022,1,01-01,Saturday,7,1859.0,169.0,4900.0,,2388.0,1820.0,0.0,2683.0,6928.0,6891.0,13819.0,0.13452492944496708,0.012229539040451553,0.35458426803676096,,0.17280555756567045,0.1317027281279398,0.0,0.19415297778421015,0.5013387365221796,0.4986612634778204
Mwh,2022-01-01 08:00:00,2022-01-01,2022,1,01-01,Saturday,8,1857.0,180.0,4798.0,,3100.0,1793.0,43.0,2620.0,6835.0,7556.0,14391.0,0.1290389826975193,0.012507817385866166,0.33340282120769926,,0.21541241053436175,0.1245917587381002,0.002987978597734695,0.18205823083871864,0.4749496212910847,0.5250503787089152
Mwh,2022-01-01 09:00:00,2022-01-01,2022,1,01-01,Saturday,9,1850.0,29.0,4258.0,,3405.0,1759.0,55.333,2657.0,6137.0,7876.333,14013.332999999999,0.1320171296864208,0.0020694577085979475,0.30385348011069174,,0.24298287923365558,0.12552331411806172,0.003948596668615525,0.1896051424739568,0.4379400675057105,0.5620599324942895
Mwh,2022-01-01 10:00:00,2022-01-01,2022,1,01-01,Saturday,10,1806.0,29.0,4073.0,,3037.0,1847.0,67.667,2585.0,5908.0,7536.667,13444.667000000001,0.13432835487855518,0.0021569890871971763,0.30294539835014134,,0.22588882268337324,0.13737789117424773,0.005032999329771425,0.1922695444967138,0.4394307423158937,0.5605692576841063
Mwh,2022-01-01 11:00:00,2022-01-01,2022,1,01-01,Saturday,11,1713.0,29.0,4435.0,,2373.0,1648.0,80.0,2581.0,6177.0,6682.0,12859.0,0.13321409129792364,0.00225522980013998,0.3448946263317521,,0.18454001088731628,0.1281592658838168,0.0062213235865930475,0.2007154522124582,0.4803639474298157,0.5196360525701843
Mwh,2022-01-01 12:00:00,2022-01-01,2022,1,01-01,Saturday,12,1696.0,38.0,5404.0,,2411.0,1685.0,92.333,2598.0,7138.0,6786.333,13924.332999999999,0.12180116634671119,0.0027290355667305573,0.3880975842792614,,0.17315012503650984,0.12101118236686814,0.006631053710077173,0.1865798526938418,0.5126277861927031,0.48737221380729695
Mwh,2022-01-01 13:00:00,2022-01-01,2022,1,01-01,Saturday,13,1729.0,78.0,5284.0,,2422.0,1951.0,104.667,2694.0,7091.0,7171.667,14262.667000000001,0.12122557443148604,0.005468822906683581,0.3704776953707185,,0.16981396256394402,0.1367906857812778,0.007338529322741672,0.1888847296231483,0.4971720927088881,0.5028279072911118
Mwh,2022-01-01 14:00:00,2022-01-01,2022,1,01-01,Saturday,14,1661.0,88.0,5021.0,,2264.0,2296.0,117.0,2665.0,6770.0,7342.0,14112.0,0.11770124716553287,0.006235827664399093,0.35579648526077096,,0.16043083900226757,0.1626984126984127,0.008290816326530613,0.18884637188208617,0.47973356009070295,0.5202664399092971
Mwh,2022-01-01 15:00:00,2022-01-01,2022,1,01-01,Saturday,15,1732.0,91.0,4655.0,,2491.0,2561.0,129.333,2655.0,6478.0,7836.333,14314.332999999999,0.12099760428935111,0.006357264428597547,0.3251985265397976,,0.1740213812267746,0.1789115846333881,0.009035209674107763,0.18547842920798338,0.45255339525774624,0.5474466047422538
Mwh,2022-01-01 16:00:00,2022-01-01,2022,1,01-01,Saturday,16,1785.0,104.0,5269.0,,2415.0,2476.0,141.667,2670.0,7158.0,7702.667,14860.667000000001,0.12011573908492801,0.006998339980298326,0.35456012842492196,,0.16250952935019672,0.166614324915564,0.009533017596047336,0.17966892064804357,0.4816742074901483,0.5183257925098517
Mwh,2022-01-01 17:00:00,2022-01-01,2022,1,01-01,Saturday,17,1793.0,114.0,6746.0,,3274.0,2404.0,154.0,2668.0,8653.0,8500.0,17153.0,0.10452981985658485,0.006646067743251909,0.39328397364892437,,0.1908704016790066,0.14015041100682096,0.008978021337375386,0.1555413047280359,0.5044598612487612,0.49554013875123887
Mwh,2022-01-01 18:00:00,2022-01-01,2022,1,01-01,Saturday,18,1864.0,165.0,8233.0,,4114.3330000000005,2222.0,0.0,2785.0,10262.0,9121.333,19383.333,0.09616509193749084,0.008512467902192055,0.4247463529621041,,0.2122613794026033,0.11463456774951966,0.0,0.14368014004609012,0.529423912801787,0.4705760871982131
Mwh,2022-01-01 19:00:00,2022-01-01,2022,1,01-01,Saturday,19,1851.0,239.0,8772.0,,4036.667,1983.0,0.0,2770.0,10862.0,8789.667,19651.667,0.09419048266999436,0.012161818129729147,0.44637434574888735,,0.2054109201015873,0.10090747008892426,0.0,0.14095496326087756,0.5527266465486108,0.4472733534513891
Mwh,2022-01-01 20:00:00,2022-01-01,2022,1,01-01,Saturday,20,1794.0,293.0,9045.0,,4115.2,1742.0,0.0,2836.0,11132.0,8693.2,19825.2,0.09049089038193814,0.014779169945322114,0.4562375158888687,,0.20757419849484493,0.08786796602304138,0.0,0.1430502592659847,0.5615075762161289,0.43849242378387104
Mwh,2022-01-01 21:00:00,2022-01-01,2022,1,01-01,Saturday,21,1779.0,295.0,9196.0,,3920.733,1490.0,0.0,2822.0,11270.0,8232.733,19502.733,0.09121798467937801,0.015126085149194219,0.47152365773555943,,0.20103505493307017,0.07639954871965893,0.0,0.14469766878313928,0.5778677275641316,0.42213227243586837
Mwh,2022-01-01 22:00:00,2022-01-01,2022,1,01-01,Saturday,22,1766.0,298.0,9164.0,,3691.267,1359.0,0.0,2808.0,11228.0,7858.267,19086.267,0.09252726056907828,0.015613320299878441,0.4801357960674028,,0.19339910732674964,0.07120302781051947,0.0,0.14712148792637136,0.5882763769363596,0.41172362306364046
Mwh,2022-01-01 23:00:00,2022-01-01,2022,1,01-01,Saturday,23,1760.0,256.0,8572.0,,3351.8,1391.0,0.0,2774.0,10588.0,7516.8,18104.8,0.09721178913879193,0.014139896602006099,0.47346560028279794,,0.18513322433829704,0.07683045380230658,0.0,0.15321903583580046,0.584817286023596,0.41518271397640405
Mwh,2022-01-02 00:00:00,2022-01-02,2022,1,01-02,Sunday,0,1747.0,218.0,7492.0,,2469.0,1357.0,0.0,2701.0,9457.0,6527.0,15984.0,0.1092967967967968,0.013638638638638638,0.46871871871871873,,0.15446696696696696,0.08489739739739739,0.0,0.16898148148148148,0.5916541541541541,0.4083458458458458
Mwh,2022-01-02 01:00:00,2022-01-02,2022,1,01-02,Sunday,1,1670.0,155.0,5795.0,,2360.0,1371.0,0.0,2685.0,7620.0,6416.0,14036.0,0.11897976631518951,0.01104303220290681,0.41286691365061273,,0.16813907096038758,0.09767740096893703,0.0,0.19129381590196637,0.5428897121687091,0.457110287831291
Mwh,2022-01-02 02:00:00,2022-01-02,2022,1,01-02,Sunday,2,1655.0,146.0,5587.0,,2592.0,1416.0,0.0,2638.0,7388.0,6646.0,14034.0,0.11792788941142938,0.010403306256234859,0.3981046031067408,,0.18469431380932022,0.10089781958101753,0.0,0.18797206783525724,0.526435798774405,0.473564201225595
Mwh,2022-01-02 03:00:00,2022-01-02,2022,1,01-02,Sunday,3,1632.0,146.0,5594.0,,2462.95,1365.0,0.0,2577.0,7372.0,6404.95,13776.95,0.11845872998014799,0.010597410892831867,0.4060405242089141,,0.17877324081164553,0.09907853334736642,0.0,0.187051560759094,0.535096665081894,0.4649033349181059
Mwh,2022-01-02 04:00:00,2022-01-02,2022,1,01-02,Sunday,4,1669.0,155.0,5715.0,,2444.9,1343.0,0.0,2530.0,7539.0,6317.9,13856.9,0.120445409868008,0.011185763049455507,0.41242990856540784,,0.1764391747071856,0.09691922435754029,0.0,0.18258051945240278,0.5440610814828714,0.45593891851712864
Mwh,2022-01-02 05:00:00,2022-01-02,2022,1,01-02,Sunday,5,1675.0,158.0,5993.0,,2495.85,1236.0,0.0,2539.0,7826.0,6270.85,14096.85,0.11882087132941047,0.011208177713460808,0.42513043694158625,,0.17705019206418454,0.0876791623660605,0.0,0.18011115958529741,0.5551594859844575,0.4448405140155425
Mwh,2022-01-02 06:00:00,2022-01-02,2022,1,01-02,Sunday,6,1724.0,161.0,6101.0,,2509.8,1219.0,0.0,2570.0,7986.0,6298.8,14284.8,0.12068772401433693,0.011270721326164876,0.4270973342293907,,0.17569724462365593,0.08533546146953405,0.0,0.17991151433691757,0.5590557795698925,0.44094422043010756
Mwh,2022-01-02 07:00:00,2022-01-02,2022,1,01-02,Sunday,7,1708.0,161.0,6633.0,,2699.0,1071.0,0.0,2572.0,8502.0,6342.0,14844.0,0.11506332524925895,0.010846133117758016,0.44684721099434116,,0.1818243061169496,0.07215036378334681,0.0,0.17326866073834546,0.5727566693613582,0.4272433306386419
Mwh,2022-01-02 08:00:00,2022-01-02,2022,1,01-02,Sunday,8,1801.0,171.0,6697.0,,2552.0,961.0,46.0,2623.0,8669.0,6182.0,14851.0,0.12127129486229883,0.011514376136287119,0.45094606423809847,,0.17184028011581712,0.0647094471752744,0.0030974345161941955,0.1766211029560299,0.5837317352366844,0.4162682647633156
Mwh,2022-01-02 09:00:00,2022-01-02,2022,1,01-02,Sunday,9,1841.0,161.0,6380.0,,2808.0,874.0,54.0,2638.0,8382.0,6374.0,14756.0,0.1247628083491461,0.010910815939278937,0.43236649498509083,,0.19029547302792085,0.059230143670371375,0.003659528327460016,0.1787747357007319,0.5680401192735158,0.43195988072648417
Mwh,2022-01-02 10:00:00,2022-01-02,2022,1,01-02,Sunday,10,1852.0,164.0,6806.0,,2831.0,798.0,62.0,2530.0,8822.0,6221.0,15043.0,0.12311374061025061,0.010902080701987636,0.45243634913248687,,0.18819384431296948,0.05304792926942764,0.004121518314166057,0.1681845376587117,0.5864521704447251,0.41354782955527486
Mwh,2022-01-02 11:00:00,2022-01-02,2022,1,01-02,Sunday,11,1910.0,189.0,7014.0,,3007.0,826.0,70.0,2513.0,9113.0,6416.0,15529.0,0.12299568549166076,0.01217077725545753,0.4516710670358684,,0.19363771009079786,0.05319080430162921,0.004507695279799086,0.16182626054478716,0.5868375297829866,0.41316247021701336
Mwh,2022-01-02 12:00:00,2022-01-02,2022,1,01-02,Sunday,12,1900.0,143.0,7282.0,,2964.0,1011.0,78.0,2582.0,9325.0,6635.0,15960.0,0.11904761904761904,0.008959899749373433,0.456265664160401,,0.18571428571428572,0.06334586466165414,0.004887218045112782,0.16177944862155388,0.5842731829573935,0.4157268170426065
Mwh,2022-01-02 13:00:00,2022-01-02,2022,1,01-02,Sunday,13,1920.0,178.0,7303.0,,2940.0,1376.0,86.0,2610.0,9401.0,7012.0,16413.0,0.11698044233229757,0.01084506184122342,0.44495217205873394,,0.17912630232133064,0.08383598367147993,0.005239748979467496,0.159020288795467,0.572777676232255,0.4272223237677451
Mwh,2022-01-02 14:00:00,2022-01-02,2022,1,01-02,Sunday,14,1896.0,229.0,7335.0,,2831.0,1840.0,94.0,2580.0,9460.0,7345.0,16805.0,0.11282356441535257,0.013626896756917584,0.436477238916989,,0.16846176733115145,0.10949122285034216,0.00559357334126748,0.15352573638797976,0.5629277000892592,0.43707229991074087
Mwh,2022-01-02 15:00:00,2022-01-02,2022,1,01-02,Sunday,15,1901.0,280.0,6903.0,,2366.0,2186.0,102.0,2650.0,9084.0,7304.0,16388.0,0.1159995118379302,0.017085672443251158,0.421222845984867,,0.14437393214547228,0.13339028557481084,0.006224066390041493,0.16170368562362705,0.5543080302660484,0.4456919697339517
Mwh,2022-01-02 16:00:00,2022-01-02,2022,1,01-02,Sunday,16,1844.0,230.0,7596.0,,2379.0,2420.0,110.0,2682.0,9670.0,7591.0,17261.0,0.10683042697410347,0.013324836336249347,0.44006720352239154,,0.13782515497364,0.140200451885754,0.006372747812988818,0.15537917849487284,0.5602224668327443,0.43977753316725565
Mwh,2022-01-02 17:00:00,2022-01-02,2022,1,01-02,Sunday,17,1772.0,244.0,8239.0,,2921.0,2616.0,118.0,2790.0,10255.0,8445.0,18700.0,0.09475935828877005,0.01304812834224599,0.44058823529411767,,0.15620320855614972,0.13989304812834225,0.006310160427807487,0.14919786096256685,0.5483957219251336,0.4516042780748663
Mwh,2022-01-02 18:00:00,2022-01-02,2022,1,01-02,Sunday,18,1730.0,284.0,9001.0,,3769.4,2905.0,4.0,2947.0,11015.0,9625.4,20640.4,0.08381620511230402,0.013759423266990948,0.4360865099513575,,0.18262242979787213,0.1407433964458053,0.00019379469390128098,0.14277824073176876,0.5336621383306525,0.46633786166934743
Mwh,2022-01-02 19:00:00,2022-01-02,2022,1,01-02,Sunday,19,1814.0,287.0,9734.0,,3881.8,3142.0,0.0,3003.0,11835.0,10026.8,21861.8,0.08297578424466422,0.013127921763075319,0.44525153464033157,,0.17756085958155324,0.1437210110786852,0.0,0.13736288869169053,0.5413552406480711,0.45864475935192894
